"subp_id","name","lambda.med","lambda.05","lambda.95"
1,"Undisturbed",0.988774448156744,0.974462585540094,1.00276095104473
2,"Fire",0.979866841362545,0.932291956926128,0.99375568171987
3,"WPBR",0.972968869819748,0.913337544064966,0.996727320388169
4,"Low BA",1.02064008656537,0.997655704570259,1.04799856322088
5,"High BA",0.969426178248234,0.951429843757015,0.983051551244031
6,"Low Drought",0.993849667433993,0.978777400115108,1.00865146209972
7,"High Drought",0.982814842787122,0.961544457983699,1.00052549157322
8,"Wet Site",0.996965124858709,0.981809400339781,1.01301950453801
9,"Dry Site",0.972415902958202,0.949823353503871,0.992411457323772
